"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade"
"Erv Wiggins Jr.","MAINE",40,37.75,"D"
"Jeremiah Jimoh","UTAHTC",47,37.69,"D"
"Antonio Turner Jr.","HAMPTON",37,37.63,"D"
"Jaleel Chambliss","W GEORGIA",27,37.59,"D"
"Matthias Lighten","SACR HEART",53,37.44,"D"
"Daizon Allen","NORFOLK",16,37.32,"D"
"Ife Current","S DAK ST",33,37.3,"D"
"Adrian Patterson","SE MO ST",43,37.18,"D"
"Anthony Turnbow","CITADEL",27,36.87,"D"
"Kamari Blankumsee","NC A&T",16,36.6,"D"
"CJ Davis","INDIANA ST",29,36.43,"D"
"DJ Cerisier","DUQUESNE",45,36.15,"D"
"Robert Powell","VA MILT IN",26,36.01,"D"
"Bones Marks","WEBER ST",52,35.53,"D"
"Michael Beresford","N ARIZONA",49,35.49,"D"
"Jonathan Nicholson","MS VLY ST",42,35.27,"D"
"Shane Keyes-Wilson","MAINE",23,35.2,"D"
"Brian Lloyd","GEORGETOWN",51,35.09,"D"
"Jaden Williams","BETH COOK",41,35.06,"D"
"Keontae Byas","BETH COOK",17,34.55,"D"
"Jeffrey Holden","SOUTHERN U",42,34.48,"D"
"Braylon Vincent","LIUSHAR",22,34.46,"D"
"Zade Smith-Johnson","ALBANY",17,34.29,"D"
"Marcellous Ryan","PORTLAND",37,34.26,"D"
"Joshua Narh","MORGAN ST",28,33.42,"D"
"Cairo Moore","LAFAYETTE",15,33.31,"D"
"Debo Hall","PRESBYTERN",20,33.1,"D"
"Noa Calaycay","IDAHO ST",15,32.97,"D"
"Jahvi Jarmon","AUSTINPEAY",15,32.95,"D"
"Lamarr Stephens","PORTLAND",37,32.75,"D"
"Vincent Bertone","WAGNER",45,32.65,"D"
"Nick McGill","PRESBYTERN",46,32.54,"D"
"Keion Bryant","TXRG",26,32.2,"D"
"Cam Johnson","STNY BROOK",33,32.15,"D"
"Brayden Isaiah","MAINE",53,32.06,"D"
