"Name","Team.Name","Total_Snaps","Avg_Snaps_Per_Game","Games_Played","Adjusted_Score","Display_Grade"
"Cannon Dinger","MOREHEAD",38,38,1,30.58,"D"
"Jasean Mayberry","WEBER ST",68,68,1,30.53,"D"
"Corey Petty","FL A&M",71,35.5,2,30.5,"D"
"Chaz Portis","HAMPTON",75,37.5,2,30.43,"D"
"Andrew Rockford","ILL STATE",29,29,1,30.34,"D"
"Eli Aragon-Cruz","IDAHO ST",59,59,1,30.08,"D"
"Oliver Luebkert","E WASHGTON",35,35,1,30.02,"D"
"Keshon Singleton","INDIANA ST",34,34,1,29.97,"D"
"Jackson House","E KENTUCKY",74,37,2,29.79,"D"
"Stephon Patrick","MERRIMACK",88,44,2,29.71,"D"
"Zae-Mear Correll","DUQUESNE",74,37,2,26.88,"D"
"Tanner Harrison","TXAMEA",98,49,2,26.78,"D"
"Ty'ee Stephens","MAINE",69,34.5,2,26.48,"D-"
"Floyd Jones","SOUTHERN U",35,35,1,26.4,"D-"
"Keegan Zylstra","MOREHEAD",39,39,1,26.25,"D-"
"Jaydn Girard","LAMAR",24,24,1,26.24,"D-"
"D'Avery Robinson","ARKAPB",22,22,1,26.19,"D-"
"Jayden Guy","TENN STATE",39,39,1,26.07,"D-"
"Zach Jones","UC DAVIS",26,26,1,25.97,"D-"
"Jake Hilton","VILLANOVA",84,42,2,25.65,"D-"
"Jalen McDonald","MERRIMACK",22,22,1,25.38,"D-"
"Malik McNeely","MAINE",47,47,1,25.3,"D-"
"Jason Robinson Jr.","PORTLAND",70,35,2,25.06,"D-"
"Christian Harrison","MONMOUTH",56,28,2,24.99,"D-"
"Elijah Caldwell","E KENTUCKY",99,49.5,2,24.93,"D-"
"Tristan Goodly","SE LA",94,47,2,24.85,"D-"
"James Dely","STNY BROOK",98,49,2,24.84,"D-"
"Chris Colby","VILLANOVA",28,28,1,24.63,"D-"
"Bronseman Davis Jr.","DELWARE ST",43,43,1,23.86,"D-"
"Kobe Lewis","DRAKE",28,28,1,23.59,"D-"
"Mason Kuehner","LAFAYETTE",41,41,1,23.33,"D-"
"Jaden Robinson","AUSTINPEAY",39,39,1,23.12,"D-"
"Brevin Caldwell","NORFOLK",89,44.5,2,23.11,"D-"
"Michael Carlock-Williams","NC A&T",24,24,1,22.96,"D-"
"Tavian Cord","TXRG",55,55,1,22.94,"D-"
"Lawson Dixon","SE LA",92,46,2,22.87,"D-"
"Dominic Grguric","NEWHVN",24,24,1,22.83,"D-"
"Alex Green","TXRG",27,27,1,22.78,"D-"
"Judah Mallette","DRAKE",18,18,1,22.75,"D-"
"Carlos Orr-Gillespie","TENN STATE",28,28,1,22.53,"D-"
"Brody Jones","W GEORGIA",37,37,1,22.14,"D-"
"Yosei Takahashi","SAN DIEGO",77,38.5,2,22.13,"D-"
"Jaquan McGee","TEXAS STHN",99,49.5,2,21.7,"D-"
"KJ Reed","FORDHAM",56,28,2,21.7,"D-"
"Greg Donaldson","NICHOLLS",81,40.5,2,21.68,"D-"
"Mekhi Campfield","CHARLES SO",30,30,1,21.59,"D-"
"Ethan Harris","FURMAN",81,40.5,2,21.55,"D-"
"Kobe Brown","SOUTHERN U",47,47,1,21.5,"D-"
"Andreas Hill","RICHMOND",54,54,1,21.48,"D-"
"Demetric Whitlock","ARKAPB",24,24,1,21.37,"D-"
"Derrick Bohler","STF AUSTIN",33,33,1,21.33,"D-"
"Max Ware","STNY BROOK",31,31,1,21.19,"D-"
"Tyler Evans","ROB MORRIS",23,23,1,20.54,"D-"
"Zay Morris","UTAHTC",45,22.5,2,20.5,"D-"
"Austin Palmer","MERRIMACK",49,49,1,19.84,"F"
"Jaiden Fair","RICHMOND",24,24,1,19.7,"F"
"Daniel White","VALPO",45,45,1,19.29,"F"
"Jordan Reed","MONTANA ST",101,50.5,2,19.08,"F"
"Ivory Aikens","WOFFORD",59,29.5,2,18.87,"F"
"Luke Morgan","SAN DIEGO",41,41,1,18.8,"F"
"Maxwell Warren","CHARLES SO",29,29,1,18.54,"F"
"Ben Kirsch","ELON",38,38,1,18.47,"F"
"Noah Gregg","N ALABAMA",80,40,2,18.46,"F"
"Dave Pardo","CENT CT ST",35,35,1,18.41,"F"
"Keith Wheeler","HOUCHR",25,25,1,18.4,"F"
"Cross Watson","MOREHEAD",28,28,1,18.24,"F"
"Elijah Kennedy","NC A&T",34,34,1,17.76,"F"
"Zaden Jackson","HOWARD",52,52,1,17.58,"F"
"Jack Fairchild","SO UTAH",34,34,1,17.49,"F"
"Brendan Webb","NWSTATE",96,48,2,17.38,"F"
"Erik Bussmann","CHATTNOOGA",111,55.5,2,17.03,"F"
"Aric Johnson","W ILLINOIS",34,34,1,16.8,"F"
"Nare Means","HAMPTON",37,37,1,16.75,"F"
"Nick Gentilella","SACR HEART",69,34.5,2,16.71,"F"
"Anton Smith","PRESBYTERN",36,36,1,16.48,"F"
"Ben Evee","SACR HEART",109,54.5,2,16.37,"F"
"Braylon Knauth","CITADEL",38,38,1,16.23,"F"
"Jaden George","CHATTNOOGA",43,43,1,15.94,"F"
"Elijah Griffin","ALCORN ST",29,29,1,15.7,"F"
"Cam Jefferson","SOUTHERN U",44,44,1,15.62,"F"
"Logan Perez","NEW HAMP",95,47.5,2,15.6,"F"
"Kyle Vaka","MURRAY ST",79,39.5,2,15.22,"F"
"Ace Cobb","FL A&M",57,28.5,2,15.17,"F"
"Christian Bond","MS VLY ST",24,24,1,14.94,"F"
"Cameron Hergott","E KENTUCKY",57,57,1,14.9,"F"
"Jimmie Duncan","NWSTATE",75,37.5,2,14.84,"F"
"Jamar Taylor","FL A&M",24,24,1,14.78,"F"
"Hassan Mahasin","GEORGETOWN",34,34,1,14.76,"F"
"An'Tiyan Neal","STHLSK",29,29,1,14.26,"F"
"Issac Glaudin","NEWHVN",24,24,1,13.94,"F"
"Chief Montalvo","COLGATE",22,22,1,13.34,"F"
"Brayden Smith","MERCER",56,56,1,13.23,"F"
"Mason York","WEBER ST",47,47,1,12.84,"F"
"Samuel Gonzalez","E ILLINOIS",27,27,1,12.84,"F"
"Dayvian Bluitt","MS VLY ST",30,30,1,11.57,"F"
"Damien Henderson Jr.","SOUTHERN U",36,36,1,11.25,"F"
"Maliek Denmark","FL A&M",30,30,1,11.16,"F"
"Aaryn Tate","CAMPBELL",27,27,1,10.15,"F"
"Tay Norman","N IOWA",39,39,1,9.99,"F"
"Malachi Townsend","STETSON",35,35,1,9.9,"F"
"Kordell Lewis","CHARLES SO",29,29,1,9.73,"F"
"Marty O'Keeffe","VALPO",27,27,1,8.93,"F"
"Joseph Towler","MORGAN ST",25,25,1,6.44,"F"
"Caleb Brownlow","MS VLY ST",32,32,1,5.67,"F"
"Aidan Garcia","DRAKE",20,20,1,5.11,"F"
"Randall King","ALABAMA ST",23,23,1,4.72,"F"
"Jaden Perez","N ALABAMA",19,19,1,4.59,"F"
"Justin Rice","RICHMOND",24,24,1,4.34,"F"
"Sam Harkness","MOREHEAD",29,29,1,3.82,"F"
"Quavel Thornton","MORGAN ST",22,22,1,3.65,"F"
